,Передвиборна програма,ПІБ,Основні відомості,Округ,Наявність(відсутність) заборгованості зі сплати аліментів,Дата та підстава скасування реєстрації кандидата,Дата реєстрації кандидатом,Висування,Область
0,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17306pd410f01=27.doc,Бевз Світлана Володимирівна,"народилася 4 листопада 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри електричних станцій та систем, Вінницький національний технічний університет, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",11,-, ,20.06.2019,Самовисування,Вінницька область
1,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18708pd410f01=27.doc,Гижко Андрій Петрович,"народився 27 червня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в селі Березино Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",11,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Вінницька область
2,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19530pd410f01=27.doc,Горлачов Ігор Ярославович,"народився 31 березня 1984 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",11,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Вінницька область
3,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20274pd410f01=27.doc,Давиденко Ганна Віталіївна,"народилася 24 травня 1983 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, проректор з наукової та міжнародної діяльності, ВНЗ ""Відкритий міжнародний університет розвитку людини ""Україна"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, самовисування.",11,-, ,24.06.2019,Самовисування,Вінницька область
4,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15335pd410f01=27.doc,Кістіон Володимир Євсевійович,"народився 31 травня 1965 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Віце-прем’єр-міністр України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",11,-, ,12.06.2019,Самовисування,Вінницька область
5,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21186pd410f01=27.doc,Ковальов Андрій Євгенійович,"народився 24 сiчня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник генерального директора, АТ ""Вінницяобленерго"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",11,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Вінницька область
6,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19890pd410f01=27.doc,Кудлаєнко Сергій Володимирович,"народився 13 жовтня 1975 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри менеджменту та адміністрування, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",11,-, ,24.06.2019,Самовисування,Вінницька область
7,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21393pd410f01=27.doc,Лепей Олена Володимирівна,"народилася 3 жовтня 1977 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач, Вінницьке відділення навчально-наукового інституту заочного та дистанційного навчання НАВС, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",11,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Вінницька область
8,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21027pd410f01=27.doc,Пашковський Максим Ігорович,"народився 24 березня 1983 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Панчер Солюшнс"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",11,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Вінницька область
9,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19319pd410f01=27.doc,Приходько Анастасія Костянтинівна,"народилася 21 квiтня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в селі Крюківщина Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",11,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область
10,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21541pd410f01=27.doc,Скрипченко Валерій Володимирович,"народився 6 березня 1975 року в місті Первомайськ Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",11,-, ,25.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область
11,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17595pd410f01=27.doc,Хаджинов Максим Геннадійович,"народився 9 квiтня 1991 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник цеху № 3 по виготовленню електронагрівальних плит, ПП ""ВО Елна-Сервіс"", безпартійний, проживає в селі Якушенці Вінницького району Вінницької області, судимість відсутня, самовисування.",11,-, ,20.06.2019,Самовисування,Вінницька область
12,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18816pd410f01=27.doc,Шулікін Олег Миколайович,"народився 24 серпня 1966 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Агрономічненський сільський голова, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",11,-, ,22.06.2019,Самовисування,Вінницька область
13,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17564pd410f01=27.doc,Базелюк Володимир Васильович,"народився 13 квiтня 1980 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",12,-, ,22.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область
14,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20355pd410f01=27.docx,Білошкурський Олександр Валерійович,"народився 28 серпня 1975 року в місті Вінниця, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Консалтинг експерт груп ""Діктум-Фактум"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",12,-, ,24.06.2019,Самовисування,Вінницька область
15,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19292pd410f01=27.doc,Ваколюк Людмила Євгенівна,"народилася 14 жовтня 1971 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",12,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область
16,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18701pd410f01=27.docx,Верлан-Кульшенко Олена Олександрівна,"народилася 13 липня 1971 року в смт Шаргород Шаргородського району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець,  викладач кафедри патологічної анатомії, судової медицини та права, Вінницький національний медичний університету імені М. І. Пирогова, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",12,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Вінницька область
17,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17445pd410f01=27.doc,Галіцька Вікторія Вікторівна,"народилася 24 грудня 1988 року в селі Суслівці Летичівського району Хмельницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ДИНАСТІЯ В.В."", безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",12,-, ,20.06.2019,Самовисування,Вінницька область
18,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20391pd410f01=27.doc,Головін Ігор Володимирович,"народився 20 липня 1975 року в місті Житомирі, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ"".",12,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ""",Вінницька область
19,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19541pd410f01=27.doc,Грушко Сергій Сергійович,"народився 11 липня 1990 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, житлово-будівельний кооператив ""Польський Бульвар"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",12,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Вінницька область
20,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15702pd410f01=27.doc,Донець Віталій Григорович,"народився 27 лютого 1981 року в місті Біла Церква Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, державна реабілітаційна установа ""Центр комплексної реабілітації для дітей з інвалідністю ""Промінь"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",12,-, ,15.06.2019,Самовисування,Вінницька область
21,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21045pd410f01=27.doc,Драбовський Анатолій Григорович,"народився 1 серпня 1958 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Вінницький кооперативний інститут, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",12,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Вінницька область
22,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19348pd410f01=27.doc,Кривешко Сергій Сергійович,"народився 25 грудня 1975 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""АТП КРИВЕШКО"", безпартійний, проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",12,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Вінницька область
23,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21401pd410f01=27.doc,Мазуренко Денис Анатолійович,"народився 7 сiчня 1985 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",12,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Вінницька область
24,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16951pd410f01=27.doc,Марцинковський Леонід Васильович,"народився 16 серпня 1977 року в смт Стрижавка Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керуючий партнер, адвокатське об’єднання ""Марцинковський і партнери"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",12,-, ,18.06.2019,Самовисування,Вінницька область
25,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17600pd410f01=27.doc,Околіта Володимир Олександрович,"народився 23 листопада 1972 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-хірург, Вінницька обласна клінічна лікарня ім. М.І. Пирогова, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".",12,-, ,22.06.2019,"Політична партія ""Об’єднання ""САМОПОМІЧ""",Вінницька область
26,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21624pd410f01=27.doc,Павленко Юрій Євгенійович,"народився 29 жовтня 1989 року в смт Стара Синява Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".",12,-, ,25.06.2019,"Політична Партія ""ПАТРІОТ""",Вінницька область
27,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21628pd410f01=27.doc,Покорук Неля Миколаївна,"народилася 16 грудня 1969 року в селі Оленівка Вінницького району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонерка, член Аграрної партії України, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Аграрна партія України.",12,-, ,25.06.2019,Аграрна партія України,Вінницька область
28,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17589pd410f01=27.doc,Руденко Сергій Васильович,"народився 5 листопада 1968 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",12,-, ,20.06.2019,Самовисування,Вінницька область
29,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18858pd410f01=27.doc,Бойко Юрій Іванович,"народився 31 травня 1962 року в селі Широка Гребля Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",13,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Вінницька область
30,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17928pd410f01=27.doc,Вербецький Андрій Олегович,"народився 11 листопада 1993 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в місті Вінниці, судимість відсутня, самовисування.",13,-, ,21.06.2019,Самовисування,Вінницька область
31,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19076pd410f01=27.doc,Колесник Ірина Миколаївна,"народилася 30 квiтня 1987 року в місті Козятин Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, безробітна, безпартійнa, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",13,-, ,22.06.2019,"Політична Партія ""ГОЛОС""",Вінницька область
32,,Крученюк Олександр Васильович,"народився 30 травня 1978 року в місті Хмільник Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в місті Хмільник Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",13,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Вінницька область
33,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21036pd410f01=27.doc,Максименко Юрій Володимирович,"народився 19 грудня 1981 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""КУРС"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",13,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Вінницька область
34,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18447pd410f01=27.doc,Матвіюк Сергій Анатолійович,"народився 14 грудня 1978 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Козятин Вінницької області, судимість відсутня, самовисування.",13,-, ,21.06.2019,Самовисування,Вінницька область
35,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19379pd410f01=27.doc,Москалюк Андрій Петрович,"народився 15 серпня 1976 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""Барбарис"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",13,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Вінницька область
36,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19888pd410f01=27.doc,Побережний Олег Володимирович,"народився 8 серпня 1967 року в селі Стара Гута Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, ГО ""Партія Національного Порятунку"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"".",13,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",Вінницька область
37,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15243pd410f01=27.doc,Реп’яхОлександр Анатолійович,"народився 23 квiтня 1983 року в місті Хмільник Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник директора, ТОВ ""Санаторій Поділля"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",13,-, ,10.06.2019,Самовисування,Вінницька область
38,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16475pd410f01=27.doc,Стахов Валерій Іванович,"народився 17 жовтня 1969 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, селянсько-фермерське господарство ""Богдан"", безпартійний, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, самовисування.",13,-, ,18.06.2019,Самовисування,Вінницька область
39,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15672pd410f01=27.doc,Юрчишин Петро Васильович,"народився 13 липня 1958 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",13,-, ,15.06.2019,Самовисування,Вінницька область
40,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21416pd410f01=27.doc,Яремчук Юрій Якович,"народився 31 травня 1972 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",13,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Вінницька область
41,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21044pd410f01=27.doc,Борзова Ірина Наумівна,"народилася 28 серпня 1982 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",14,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Вінницька область
42,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17988pd410f01=27.doc,Брояка Вадим Францович,"народився 16 листопада 1985 року в селі Будків Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, директор, ТОВ ""Юридична фірма ""Юрінформ"", безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",14,-, ,21.06.2019,Самовисування,Вінницька область
43,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15364pd410f01=27.doc,Дикий Микола Борисович,"народився 12 червня 1972 року в селі Городище Літинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в смт Літин Літинського району Вінницької області, судимість відсутня, самовисування.",14,-, ,13.06.2019,Самовисування,Вінницька область
44,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21423pd410f01=27.doc,Дунайчук Альона Вікторівна,"народилася 25 лютого 1983 року в селі Мальчівці Барського району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в селі Мальчівці Барського району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",14,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Вінницька область
45,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19393pd410f01=27.doc,Кінщак Володимир Андрійович,"народився 25 листопада 1958 року в місті Бар Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Бар Барського району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",14,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Вінницька область
46,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20472pd410f01=27.doc,Кривак Іван Васильович,"народився 21 сiчня 1982 року в селі Олексіївка Жмеринського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""МИТНО-БРОКЕРСЬКА ГРУПА"", безпартійний, проживає в селі Олексіївка Жмеринського району Вінницької області, судимість відсутня, самовисування.",14,-, ,24.06.2019,Самовисування,Вінницька область
47,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17055pd410f01=27.doc,Кушнір Анатолій Петрович,"народився 10 листопада 1961 року в місті Жмеринка  Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, директор з виробництва, ПП  ""Корунд-Комплект"", безпартійний, проживає в місті Жмеринка  Вінницької області, судимість відсутня, самовисування.",14,-, ,20.06.2019,Самовисування,Вінницька область
48,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15827pd410f01=27.doc,Лутковська Світлана Михайлівна,"народилася 31 липня 1986 року в селі Борівка Чернівецького району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор бібліотеки, Вінницький національний аграрний університет, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",14,-, ,17.06.2019,Самовисування,Вінницька область
49,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19314pd410f01=27.doc,Мартинюк Анатолій Григорович,"народився 6 квiтня 1982 року в місті Бар Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, військовослужбовець, Служба безпеки України, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",14,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Вінницька область
50,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18726pd410f01=27.doc,Мельничук Іван Іванович,"народився 8 лютого 1969 року в місті Коломия Івано-Франківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""Європейська Солідарність"", проживає в селі Дяківці Літинського району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",14,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Вінницька область
51,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18272pd410f01=27.doc,Середа Віталій Вікторович,"народився 27 грудня 1982 року в смт Літин Літинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, громадська організація ""Учасників АТО Літинського району"", безпартійний, проживає в смт Літин Літинського району Вінницької області, судимість відсутня, самовисування.",14,-, ,22.06.2019,Самовисування,Вінницька область
52,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16128pd410f01=27.doc,Сімакова Наталя Михайлівна,"народилася 13 грудня 1989 року в селі Чемериси-Барські Барського району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.",14,-, ,17.06.2019,Самовисування,Вінницька область
